ETC_20150317_000001	Kepa
ETC_20150317_000567	Те, кто видит в Filibo только маленького и симпатичного зверька, быстро убеждаются в обратном... Если выживают.
ETC_20150317_000568	Holy Water Bottle
ETC_20150317_000569	Bramble Event
ETC_20150317_000570	Chain
ETC_20150317_000571	Hyde box
ETC_20150317_000572	Bat
ETC_20150317_000573	Исполняющие обязанности в качестве миньонов-разведчиков Mirtis, эти летучие мыши жили раньше по всему миру, но переросли в большую угрозу, несмотря на их небольшие тела.
ETC_20150317_000574	Field Ginklas
ETC_20150317_000575	Field Netherbovine
ETC_20150317_000576	Fatal Biteregina
ETC_20150317_000577	Nureongi
ETC_20150317_000578	Speck
ETC_20150317_000579	White Spots
ETC_20150317_000580	x
ETC_20150317_000581	Anvil
ETC_20150317_000582	Hogma Warrior
ETC_20150317_000583	Although the Hogmas are smarter than the Vubbes and can use tools, their brutish instincts stifle any progress and lead to many stupid mistakes.
ETC_20150317_000584	Hogma Archer
ETC_20150317_000585	Уравновешенных Hogmas часто видели в роли лучников.
ETC_20150317_000586	Hogma Shaman
ETC_20150317_000587	Some Hogmas have picked up abilities through experience but they still have Hogma instincts.
ETC_20150317_000588	Ellom
ETC_20150317_000589	Говорят, что они получают свои силы от человеческих душ, потому что они скапливаются возле раненых.
ETC_20150317_000590	Green Ellom
ETC_20150317_000591	Этот тип монстра Ellom - токсичный.
ETC_20150317_000592	Yellow Ellom
ETC_20150317_000593	Merog Shaman
ETC_20150317_000594	Разновидность Merog. Небольшие изменения в процессе мутации объясняют разнообразие Merog.
ETC_20150317_000595	Merog Stinger
ETC_20150317_000596	Этот пресмыкающийся монстр нападает инстинктивно, однако у его интеллекта намного больше возможностей.
ETC_20150317_000597	Hogma Captain
ETC_20150317_000598	Разновидность Hogma, у которых разум и инстинкты дают превосходство в борьбе с людьми.
ETC_20150317_000599	Chupaluka
ETC_20150317_000600	Монстр, который, как говорят, создали демоны, взяв за основу Chupacabra.
ETC_20150317_000601	Ellomago
ETC_20150317_000602	Он одновременно мерзкий по характеру и угрюмый внешне.
ETC_20150317_000603	Ellogua
ETC_20150317_000604	Он свиреп к другим монстрам и людям, особенно к монстрам-насекомым.
ETC_20150317_000605	Groll
ETC_20150317_000606	Амфибии, которые эволюционировали, чтобы иметь возможность охотиться в засушливых районах, путешественники должны быть осторожными с ними.
ETC_20150317_000607	Wendigo
ETC_20150317_000608	Монстр с привычкой нападать и кусать на людей.
ETC_20150317_000609	Lizardman
ETC_20150317_000610	You can tell the origin of this beast just by its name or appearance.
ETC_20150317_000611	Tama
ETC_20150317_000612	Tama - монстр, происходящий из спор некоторых растений. Пока неясно, будет ли он расти в его текущей форме.
ETC_20150317_000613	Kepari
ETC_20150317_000614	Kepari не связаны с Kepa, а, напротив, сродни животным.
ETC_20150317_000615	Kodomor
ETC_20150317_000616	После исчезновения Богинь, одним из самых странных изменений является то, что эти обитающие в воде существа теперь активны на суше.
ETC_20150317_000617	Kowak
ETC_20150317_000618	Он по прежнему предпочитает гнилое мясо.
ETC_20150317_000619	Explosion Trap
ETC_20150317_000620	Frightful Goddess Statue
ETC_20150317_000621	Skill Point Up Goddess Statue
ETC_20150317_000622	Status Up Goddess Statue
ETC_20150317_000623	Zone Transit Goddess Statue
ETC_20150317_000624	Lemur
ETC_20150317_000625	It is not yet clear what deforms into this monster.
ETC_20150317_000626	Lemuria
ETC_20150317_000627	Похож на Lemur, но морозостойкий.
ETC_20150317_000628	Hogma Fighter
ETC_20150317_000629	Хотя они больше похожи на стражников, эти Hogmas имеют большой боевой опыт.
ETC_20150317_000630	Hogma Scout
ETC_20150317_000631	По сравнению с обычным Hogmas, они очень сильны, но их интеллект ниже.
ETC_20150317_000632	Crane
ETC_20150317_000633	Alpaca
ETC_20150317_000634	Snowman
ETC_20150317_000635	Hydra
ETC_20150317_000636	Clymen
ETC_20150317_000637	Reaverpede
ETC_20150317_000638	Colimencia
ETC_20150317_000639	Jack O'Lantern
ETC_20150317_000640	Mothstem
ETC_20150317_000641	Harpeia
ETC_20150317_000642	Gazing Golem
ETC_20150317_000643	Moldyhorn
ETC_20150317_000644	Manticen
ETC_20150317_000645	Moyabruka
ETC_20150317_000646	Velorchard
ETC_20150317_000647	Zinute
ETC_20150317_000648	It is a monster that is formed by binding an animal with a mineral. In recent years, various forms of these monsters have been discovered.
ETC_20150317_000649	Lauzinute
ETC_20150317_000650	Это один из нескольких разновидностей Zinute.
ETC_20150317_000651	Desert Chupacabra
ETC_20150317_000652	A variety of Chupacabra dwell in various places, causing harm to both human life and crops.
ETC_20150317_000653	Royal Mausoleum Gate
ETC_20150317_000654	Yellow Zinute
ETC_20150317_000655	Blue Lauzinute
ETC_20150317_000656	Field Specter
ETC_20150317_000657	Varv
ETC_20150317_000658	Хоть он и небольшой, однако существенно больше чем его первоначальная форма и охотится за мясом на протяжении всей своей жизни.
ETC_20150317_000659	Field Blue Woodspirit
ETC_20150317_000660	Field Hydra
ETC_20150317_000661	Field Green Woodspirit
ETC_20150317_000662	Bone Necklace Poata
ETC_20150317_000663	Rough Gray Golem
ETC_20150317_000664	Dirt-eating Glass Mole
ETC_20150317_000665	Crazy Woodspirit
ETC_20150317_000666	Pale Rikaus
ETC_20150317_000667	Solid Carapace
ETC_20150317_000668	Impregnable Cyclops
ETC_20150317_000669	Fearless Blue Sequoia
ETC_20150317_000670	Thorned Shadowgaler
ETC_20150317_000671	Rock Armor Rocktortuga
ETC_20150317_000672	Cast Iron Horn Netherbovine
ETC_20150317_000673	Ferocious Molich
ETC_20150317_000674	Judder Yonazolem
ETC_20150317_000675	Poisonous Throneweaver
ETC_20150317_000676	Quick Bebraspion
ETC_20150317_000677	Hopping Bridge Honeypin
ETC_20150317_000678	Stone-eating Kirmeleech
ETC_20150317_000679	Fire Jar Magburk
ETC_20150317_000680	Tempered Archon
ETC_20150317_000681	Indomitable Kepa Chieftain
ETC_20150317_000682	Bizzare Velochard
ETC_20150317_000683	Whirlwind Harpeia
ETC_20150317_000684	Frantic Giant Wood Goblin
ETC_20150317_000685	Deadborn of Steel
ETC_20150317_000686	Leaping Ironbaum
ETC_20150317_000687	Shaking Achat
ETC_20150317_000688	Shnayim moving Again
ETC_20150317_000689	Excited Minotaur
ETC_20150317_000690	Fluttering Denoptic
ETC_20150317_000691	Precarious Clymen
ETC_20150317_000692	Igniting Jack O'Lantern
ETC_20150317_000693	Fluttering Mothstem
ETC_20150317_000694	Noisy Moldyhorn
ETC_20150317_000695	Pierced Manticen
ETC_20150317_000696	Stone Thorned Moyabruka
ETC_20150317_000697	Crazy Colimencia
ETC_20150317_000698	Wedge Hand Chafer
ETC_20150317_000699	Blasphemous Deathweaver
ETC_20150317_000700	Field Saltistter
ETC_20150317_000701	Violent Cerberus
ETC_20150317_000702	Bleak Chapparition
ETC_20150317_000703	Noisy Mineloader
ETC_20150317_000704	Arma
ETC_20150317_000705	Хотя у него нет глаз, Arma имеет очень развитое чувство слуха и обоняния.
ETC_20150317_000706	Dimmer
ETC_20150317_000707	It attacks people with a flame ball that it cherishes and carries around.
ETC_20150317_000708	Flask
ETC_20150317_000709	Разновидность монстра, что возникает из магических вещей.
ETC_20150317_000710	Phyracon
ETC_20150317_000711	Печальный монстр, который не может летать.
ETC_20150317_000712	Shaman Doll
ETC_20150317_000713	Хотя он был создан магом из наилучшей доступной магии, он стал враждебным для людей под влиянием демонов.
ETC_20150317_000714	Black Shaman Doll
ETC_20150317_000715	Yellow Shaman Doll
ETC_20150317_000716	Wizard Shaman Doll
ETC_20150317_000717	When the demons captured the Mage Tower, this doll was greatly affected. In particular, it instinctively hates magic users.
ETC_20150317_000718	Large Slime
ETC_20150317_000719	The slime is an organism in the demon realm. Its population exploded after the time when the plant Geant, especially around the Mage Tower.
ETC_20150317_000720	Green Large Slime
ETC_20150317_000721	Yellow Large Slime
ETC_20150317_000722	Black Large Slime
ETC_20150317_000723	Fire Golem
ETC_20150317_000724	Warmed Up Gazing Golem
ETC_20150317_000725	Noble Tomb Lord
ETC_20150317_000726	Blue Zolem
